Код;КЧ;Наименование профессии;Наименование должности;Код категории;Код выпуска ЕТКС;Код по ОКЗ;autokey
17261;6;Приемщик молочной продукции;;49;8272;;classifierOkpdtr_17261
17263;5;Приемщик на машинах и агрегатах;;59;9350;;classifierOkpdtr_17263
17265;4;Приемщик-отправитель;;59;9350;;classifierOkpdtr_17265
17266;9;Приемщик перопухового сырья;;52;7411;;classifierOkpdtr_17266
17268;8;Приемщик плавсредств;;54;6153;;classifierOkpdtr_17268
17270;5;Приемщик поездов;;56;7511;;classifierOkpdtr_17270
17272;4;Приемщик покрышек;;33;8284;;classifierOkpdtr_17272
17274;3;Приемщик пункта проката;;66;9170;;classifierOkpdtr_17274
17276;2;Приемщик-раздатчик золотосодержащих препаратов;;45;7324;;classifierOkpdtr_17276
17278;1;Приемщик руды и асбеста;;4;9311;;classifierOkpdtr_17278
17280;9;Приемщик-сдатчик пищевой продукции;;51;7411;;classifierOkpdtr_17280
17282;8;Приемщик сельскохозяйственных продуктов и сырья;;1;9211;;classifierOkpdtr_17282
17284;7;Приемщик скота;;52;7411;;classifierOkpdtr_17284
17286;6;Приемщик солодкового корня;;55;7415;;classifierOkpdtr_17286
17288;5;Приемщик-сортировщик живой птицы и кроликов;;52;7411;;classifierOkpdtr_17288
17290;2;Приемщик сырья;;48;7441;;classifierOkpdtr_17290
17292;1;Приемщик сырья для клея;;52;8271;;classifierOkpdtr_17292
17294;0;Приемщик сырья, полуфабрикатов и готовой продукции;;24;8229;;classifierOkpdtr_17294
17296;5;Приемщик товаров;;51;9350;;classifierOkpdtr_17296
17298;9;Приемщик трамваев и троллейбусов;;56;8323;;classifierOkpdtr_17298
17300;2;Приемщик яиц;;52;7411;;classifierOkpdtr_17300
17302;1;Прикатчик напыленных изделий;;29;8228;;classifierOkpdtr_17302
17304;0;Присучальщик основ;;47;9350;;classifierOkpdtr_17304
17306;0;Притирщик стеклоизделий;;44;8132;;classifierOkpdtr_17306
17308;9;Пробивальщик-продувальщик труб;;56;9332;;classifierOkpdtr_17308
17310;6;Пробист высокой печати;;59;7341;;classifierOkpdtr_17310
17312;5;Пробист плоской печати;;59;7341;;classifierOkpdtr_17312
17314;4;Пробоотборщик;;1;7214;;classifierOkpdtr_17314
17316;3;Проборщик;;47;8262;;classifierOkpdtr_17316
17320;3;Пробуторщик малолитражной драги;;4;9311;;classifierOkpdtr_17320
17322;9;Проверщик судовой;;23;7232;;classifierOkpdtr_17322
17324;8;Проводник;;1;5111;;classifierOkpdtr_17324
17328;6;Проводник (вожатый) служебных собак;;1;5169;;classifierOkpdtr_17328
17330;3;Проводник на геологических поисках и съемке;;5;7610;;classifierOkpdtr_17330
17334;1;Проводник пассажирского вагона;;56;5111;;classifierOkpdtr_17334
17336;0;Проводник по сопровождению грузов и спецвагонов;;56;5111;;classifierOkpdtr_17336
17339;4;Проводник по сопровождению животных;;70;6121;;classifierOkpdtr_17339
17341;1;Проводник по сопровождению локомотивов и пассажирских вагонов в нерабочем состоянии;;56;5111;;classifierOkpdtr_17341
17347;9;Проводник-электромонтер почтовых вагонов;;56;7511;;classifierOkpdtr_17347
17349;8;Привязывальщик мотков;;47;9350;;classifierOkpdtr_17349
17351;5;Продавец непродовольственных товаров;;51;5210;;classifierOkpdtr_17351
17353;4;Продавец продовольственных товаров;;51;5210;;classifierOkpdtr_17353
17355;3;Прожекторист;;1;5139;;classifierOkpdtr_17355
17357;2;Прожигальщик медицинских изделий;;33;8284;;classifierOkpdtr_17357
17359;1;Прокальщик;;8;8123;;classifierOkpdtr_17359
17361;9;Прокальщик зерна и шлифпорошков;;17;7270;;classifierOkpdtr_17361
17363;8;Прокальщик на печах;;14;7280;;classifierOkpdtr_17363
17365;7;Прокальщик порошка для кабеля;;19;8139;;classifierOkpdtr_17365
17532;8;Рабочий карты намыва;;3;7129;;classifierOkpdtr_17532
17367;6;Прокальщик электроугольного производства;;19;8139;;classifierOkpdtr_17367
17369;5;Прокатчик горячего металла;;8;8122;;classifierOkpdtr_17369
17371;2;Прокатчик кож;;48;7441;;classifierOkpdtr_17371
17373;1;Прокатчик пленки;;27;8232;;classifierOkpdtr_17373
17375;0;Прокатчик слюды;;43;7450;;classifierOkpdtr_17375
17377;5;Прокатчик фарфоровых труб;;45;8133;;classifierOkpdtr_17377
17379;9;Прокатчик шаров;;2;8122;;classifierOkpdtr_17379
17381;6;Проклеивальщик;;47;8269;;classifierOkpdtr_17381
17383;5;Проклеивальщик ватилина;;47;8269;;classifierOkpdtr_17383
17385;4;Проклейщик массы;;35;7441;;classifierOkpdtr_17385
17387;3;Промазчик форм;;45;7321;;classifierOkpdtr_17387
17389;2;Промывальщик волокнистых материалов;;41;8142;;classifierOkpdtr_17389
17391;8;Промывальщик геологических проб;;5;7610;;classifierOkpdtr_17391
17393;9;Промывальщик котлов паровозов;;56;7511;;classifierOkpdtr_17393
17395;8;Промывальщик-пропарщик цистерн;;56;7511;;classifierOkpdtr_17395
17397;7;Промывальщик сырья;;47;7431;;classifierOkpdtr_17397
17399;6;Промывальщик технических сукон;;47;7431;;classifierOkpdtr_17399
17401;3;Промывщик бриллиантов и алмазов;;65;7313;;classifierOkpdtr_17401
17403;9;Промывщик гидроксала;;31;8221;;classifierOkpdtr_17403
17405;8;Промывщик деталей и узлов;;20;7242;;classifierOkpdtr_17405
17407;7;Промывщик камней;;10;7311;;classifierOkpdtr_17407
17409;6;Промывщик оптических деталей;;71;7260;;classifierOkpdtr_17409
17411;3;Промывщик целлюлозы;;41;8142;;classifierOkpdtr_17411
17412;8;Промышленный альпинист;;1;7121;;classifierOkpdtr_17412
17413;2;Пропарщик;;24;8229;;classifierOkpdtr_17413
17415;1;Пропарщик асбестоцементных и асбестосилитовых изделий;;42;7450;;classifierOkpdtr_17415
17417;0;Пропарщик лао-ча;;55;8277;;classifierOkpdtr_17417
17420;2;Пропарщик-проварщик древесины;;40;7421;;classifierOkpdtr_17420
17422;1;Пропарщик стеновых материалов;;42;8134;;classifierOkpdtr_17422
17423;6;Пропитчик;;8;7214;;classifierOkpdtr_17423
17424;0;Пропитчик;;20;8228;;classifierOkpdtr_17424
17425;5;Пропитчик;;29;7242;;classifierOkpdtr_17425
17426;6;Пропитчик бумаги и бумажных изделий;;41;8142;;classifierOkpdtr_17426
17428;9;Пропитчик бумаги и тканей;;19;7241;;classifierOkpdtr_17428
17430;6;Пропитчик кабелей и проводов;;19;7241;;classifierOkpdtr_17430
17432;5;Пропитчик карандашных дощечек;;40;8144;;classifierOkpdtr_17432
17434;4;Пропитчик пиломатериалов и изделий из древесины;;40;8141;;classifierOkpdtr_17434
17436;3;Пропитчик по огнезащитной пропитке;;1;7250;;classifierOkpdtr_17436
17438;2;Пропитчик слюдопластовых материалов;;43;7450;;classifierOkpdtr_17438
17440;9;Пропитчик стержней;;40;8144;;classifierOkpdtr_17440
17442;9;Пропитчик шпона;;40;8141;;classifierOkpdtr_17442
17444;8;Пропитчик электротехнических изделий;;19;7241;;classifierOkpdtr_17444
18105;1;Садчик;;42;7450;;classifierOkpdtr_18105
17446;7;Пропитывальщик пожарных рукавов;;47;8269;;classifierOkpdtr_17446
17448;6;Просевальщик материалов;;42;7450;;classifierOkpdtr_17448
17450;3;Просевальщик порошков;;45;9322;;classifierOkpdtr_17450
17451;8;Просевальщик (рассевальщик);;52;7441;;classifierOkpdtr_17451
17453;7;Просевальщик сыпучих материалов;;19;7241;;classifierOkpdtr_17453
17455;6;Просевальщик технической продукции;;52;7411;;classifierOkpdtr_17455
17457;5;Просевальщик фарматуры и отходов;;55;7414;;classifierOkpdtr_17457
17459;4;Просевальщик фтористого натрия и извести-пушонки;;52;7411;;classifierOkpdtr_17459
17461;1;Просевщик;;44;9322;;classifierOkpdtr_17461
