Код;КЧ;Наименование профессии;Наименование должности;Код категории;Код выпуска ЕТКС;Код по ОКЗ;autokey
17463;0;Просевщик бисера;;44;9322;;classifierOkpdtr_17463
17465;1;Просевщик порошков на механических ситах;;7;8125;;classifierOkpdtr_17465
17467;9;Просеивальщик;;24;8159;;classifierOkpdtr_17467
17469;8;Просмотрщик ампул с инъекционными растворами;;31;8221;;classifierOkpdtr_17469
17471;5;Просмотрщик продукции медицинского назначения;;31;8221;;classifierOkpdtr_17471
17473;4;Протирщик изделий;;27;9322;;classifierOkpdtr_17473
17475;3;Протирщик стеарата кальция;;27;8232;;classifierOkpdtr_17475
17477;2;Протирщик часовых стекол;;10;7311;;classifierOkpdtr_17477
17479;1;Протирщик электровакуумных приборов;;20;9321;;classifierOkpdtr_17479
17481;9;Протравщик хлопковых семян;;46;6111;;classifierOkpdtr_17481
17483;8;Протравщик шкурок;;47;8265;;classifierOkpdtr_17483
17485;7;Протяжчик;;2;7223;;classifierOkpdtr_17485
17487;6;Протяжчик штурвалов;;27;8232;;classifierOkpdtr_17487
17489;5;Профилировщик;;2;7213;;classifierOkpdtr_17489
17491;2;Проходчик;;4;7111;;classifierOkpdtr_17491
17493;1;Проходчик горных склонов;;4;7111;;classifierOkpdtr_17493
17495;0;Проходчик на поверхностных работах;;4;7111;;classifierOkpdtr_17495
17497;0;Проявщик кинопленки;;34;8224;;classifierOkpdtr_17497
17499;9;Пружинщик;;2;7213;;classifierOkpdtr_17499
17501;2;Прядильщик;;47;7431;;classifierOkpdtr_17501
17503;1;Птицевод;;70;6122;;classifierOkpdtr_17503
17505;0;Пудровщик;;45;9322;;classifierOkpdtr_17505
17507;6;Пудровщик оттисков деколи;;59;8251;;classifierOkpdtr_17507
17509;9;Пультовщик конвертера;;8;8121;;classifierOkpdtr_17509
17511;6;Пультовщик электроплавильной печи;;7;8121;;classifierOkpdtr_17511
17513;5;Пульфонщик;;44;7322;;classifierOkpdtr_17513
17517;3;Путевой рабочий на озере;;55;8273;;classifierOkpdtr_17517
17519;2;Путевой рабочий тральной бригады;;56;8340;;classifierOkpdtr_17519
17521;9;Пчеловод;;70;6123;;classifierOkpdtr_17521
17523;9;Пятновыводчик;;66;5144;;classifierOkpdtr_17523
17524;3;Рабочий береговой;;56;8340;;classifierOkpdtr_17524
17525;8;Рабочий бюро бытовых услуг;;65;5133;;classifierOkpdtr_17525
17530;9;Рабочий зеленого строительства;;3;6113;;classifierOkpdtr_17530
17531;3;Рабочий зеленого хозяйства;;69;5330;;classifierOkpdtr_17531
17534;7;Рабочий на геологосъемочных и поисковых работах;;5;7610;;classifierOkpdtr_17534
17536;6;Рабочий на геофизических работах;;5;7610;;classifierOkpdtr_17536
17540;2;Рабочий на подаче химикатов;;41;9322;;classifierOkpdtr_17540
17541;7;Рабочий по обслуживанию бани;;66;5149;;classifierOkpdtr_17541
17542;1;Рабочий плодоовощного хранилища;;1;9350;;classifierOkpdtr_17542
17543;6;Рабочий по благоустройству населенных пунктов;;1;9414;;classifierOkpdtr_17543
17544;0;Рабочий по комплексному обслуживанию и ремонту зданий;;1;9141;;classifierOkpdtr_17544
17545;5;Машинист по стирке и ремонту спецодежды;;1;9133;;classifierOkpdtr_17545
17546;1;Рабочий по уходу за животными;;1;6129;;classifierOkpdtr_17546
17547;4;Рабочий производственных бань;;1;5149;;classifierOkpdtr_17547
17549;3;Рабочий противолавинной защиты;;4;7610;;classifierOkpdtr_17549
17550;6;Рабочий ритуальных услуг;;65;5143;;classifierOkpdtr_17550
17551;0;Радиометрист;;5;7620;;classifierOkpdtr_17551
17553;8;Радиомеханик по обслуживанию и ремонту радиотелевизионной аппаратуры;;1;5147;;classifierOkpdtr_17553
17556;3;Радиомеханик по ремонту радиоэлектронного оборудования;;22;7242;;classifierOkpdtr_17556
17560;4;Радиомонтажник судовой;;23;7242;;classifierOkpdtr_17560
17562;9;Радиомонтер приемных телевизионных антенн;;1;5147;;classifierOkpdtr_17562
17564;8;Радиооператор;;56;7521;;classifierOkpdtr_17564
17566;7;Радиотелеграфист;;56;7521;;classifierOkpdtr_17566
17568;6;Радиотехник;;56;7521;;classifierOkpdtr_17568
17572;2;Радист-радиолокаторщик;;22;7232;;classifierOkpdtr_17572
17574;1;Разбивщик отходов;;48;9350;;classifierOkpdtr_17574
17576;0;Разбивщик сырья;;45;9322;;classifierOkpdtr_17576
17577;5;Разбивщик ферросплавов;;7;8122;;classifierOkpdtr_17577
17579;4;Разбортовщик винипластовых и полиэтиленовых труб;;7;7233;;classifierOkpdtr_17579
17581;1;Разборщик асбестоцементных изделий;;42;7450;;classifierOkpdtr_17581
17583;0;Разборщик оптического стекла и кристаллов;;71;7260;;classifierOkpdtr_17583
17585;7;Разборщик пакетов;;24;8284;;classifierOkpdtr_17585
17586;4;Разборщик печей сопротивления;;17;7270;;classifierOkpdtr_17586
17588;3;Разборщик субпродуктов;;52;7411;;classifierOkpdtr_17588
17590;0;Развальцовщик стекла;;44;8132;;classifierOkpdtr_17590
17592;3;Разварщик саломаса;;55;8290;;classifierOkpdtr_17592
17594;9;Разварщик силикатной глыбы;;14;7270;;classifierOkpdtr_17594
17596;8;Разведчик объектов природы для коллекций;;60;7460;;classifierOkpdtr_17596
17598;7;Развесчик химического сырья;;26;8226;;classifierOkpdtr_17598
17600;0;Разводчик кож;;48;7441;;classifierOkpdtr_17600
17602;9;Разводчик (распусчик) холяв;;44;7322;;classifierOkpdtr_17602
17604;9;Развязывальщик;;47;9350;;classifierOkpdtr_17604
17606;8;Разгрузчик диффузоров;;41;8142;;classifierOkpdtr_17606
17608;7;Раздатчик взрывчатых материалов;;4;7112;;classifierOkpdtr_17608
17610;4;Раздатчик нефтепродуктов;;36;9332;;classifierOkpdtr_17610
17614;2;Раздельщик жгутов стекловолокна;;29;8228;;classifierOkpdtr_17614
17616;1;Раздельщик лома и отходов металла;;7;8125;;classifierOkpdtr_17616
17619;5;Раздельщик титановой губки;;8;8125;;classifierOkpdtr_17619
17621;2;Раздирщик пакетов;;7;8123;;classifierOkpdtr_17621
17623;1;Развивальщик-загладчик пеномассы;;7;8122;;classifierOkpdtr_17623
17625;0;Разливщик ртути;;8;8122;;classifierOkpdtr_17625
17627;1;Разливщик стали;;7;8122;;classifierOkpdtr_17627
17629;9;Разливщик стерильных растворов;;31;8221;;classifierOkpdtr_17629
17632;0;Разливщик химической продукции;;7;8159;;classifierOkpdtr_17632
17634;8;Разливщик цветных металлов и сплавов;;8;8122;;classifierOkpdtr_17634
17636;9;Разметчик;;2;7222;;classifierOkpdtr_17636
17638;8;Разметчик алмазов;;65;7313;;classifierOkpdtr_17638
17640;5;Разметчик деталей и материалов;;48;7442;;classifierOkpdtr_17640
17642;4;Разметчик плазовый;;22;7222;;classifierOkpdtr_17642
17644;3;Разметчик по дереву;;40;7421;;classifierOkpdtr_17644
17646;2;Разметчик проката;;7;7214;;classifierOkpdtr_17646
17647;7;Разметчик пьезокварцевого сырья;;20;7242;;classifierOkpdtr_17647
17649;6;Разметчик стекла;;44;7135;;classifierOkpdtr_17649
17651;3;Разметчик судовой;;23;7232;;classifierOkpdtr_17651
17653;2;Разметчик хлыстов;;39;6141;;classifierOkpdtr_17653
17655;1;Размольщик;;24;8142;;classifierOkpdtr_17655
17656;6;Размольщик;;41;8151;;classifierOkpdtr_17656
17657;0;Размольщик вирусной ткани и бактерийной массы;;31;8221;;classifierOkpdtr_17657
17658;5;Размольщик-дозировщик угольных масс;;19;7241;;classifierOkpdtr_17658
17660;2;Размольщик древесины;;40;8144;;classifierOkpdtr_17660
17662;1;Размольщик карандашной массы;;40;8144;;classifierOkpdtr_17662
17664;0;Размольщик (мельник) кости-паренки;;52;8271;;classifierOkpdtr_17664
17665;5;Размольщик роговой стружки;;65;7334;;classifierOkpdtr_17665
17667;4;Размотчик;;47;7431;;classifierOkpdtr_17667
17669;3;Размотчик лент;;41;8143;;classifierOkpdtr_17669
17671;0;Размотчик стеклонити;;29;8228;;classifierOkpdtr_17671
17676;3;Разрабатывальщик отходов;;47;8269;;classifierOkpdtr_17676
17678;2;Разрабатывальщик сырья;;47;7431;;classifierOkpdtr_17678
17681;4;Разрисовщик игрушек;;64;7470;;classifierOkpdtr_17681
17683;3;Разрисовщик изделий из кожи;;65;7332;;classifierOkpdtr_17683
17685;2;Разрисовщик кожгалантерейных изделий;;48;7442;;classifierOkpdtr_17685
17687;1;Разрисовщик моделей;;60;7460;;classifierOkpdtr_17687
17689;0;Разрисовщик обоев;;41;7324;;classifierOkpdtr_17689
17691;8;Разрисовщик по стеклу;;44;7324;;classifierOkpdtr_17691
17693;7;Разрисовщик ткани;;47;7332;;classifierOkpdtr_17693
17695;6;Разрубщик аккумуляторных пластин;;19;7221;;classifierOkpdtr_17695
17697;5;Разрубщик мяса;;51;5220;;classifierOkpdtr_17697
17701;8;Разрыхлитель табака;;55;7350;;classifierOkpdtr_17701
17704;1;Раймовщик дистилляционных печей;;8;8122;;classifierOkpdtr_17704
17705;6;Раклист;;45;8262;;classifierOkpdtr_17705
17706;0;Раклист;;47;7324;;classifierOkpdtr_17706
17708;1;Рамповщик;;7;8122;;classifierOkpdtr_17708
17710;7;Рамщик;;40;8141;;classifierOkpdtr_17710
17712;6;Раскатчик;;2;8124;;classifierOkpdtr_17712
17714;5;Раскатчик-сортировщик бумаги;;41;8143;;classifierOkpdtr_17714
17716;4;Раскатчик стержней;;40;8144;;classifierOkpdtr_17716
17717;9;Раскатчик ткани;;47;7431;;classifierOkpdtr_17717
17719;8;Раскладчик лекал;;49;7443;;classifierOkpdtr_17719
17721;5;Раскладчик листового табака;;55;9350;;classifierOkpdtr_17721
17723;4;Раскладчик стекловолокна;;29;8228;;classifierOkpdtr_17723
17725;3;Раскладчик сырья;;46;9350;;classifierOkpdtr_17725
17729;1;Раскольщик алмазов;;65;7313;;classifierOkpdtr_17729
17731;9;Раскольщик блоков;;45;7321;;classifierOkpdtr_17731
17733;8;Раскрасчик диапозитивов и фотоотпечатков;;60;7460;;classifierOkpdtr_17733
17734;2;Раскрасчик законтурованных рисунков;;62;5410;;classifierOkpdtr_17734
17736;1;Раскрасчик изделий;;27;7324;;classifierOkpdtr_17736
17738;0;Раскройщик;;49;7443;;classifierOkpdtr_17738
17740;8;Раскройщик бересты;;65;7331;;classifierOkpdtr_17740
17742;7;Раскройщик кожевенного сырья;;48;7441;;classifierOkpdtr_17742
17744;6;Раскройщик кожи и меха;;65;7332;;classifierOkpdtr_17744
17746;5;Раскройщик листового материала;;27;8234;;classifierOkpdtr_17746
17748;4;Раскройщик материалов;;45;8269;;classifierOkpdtr_17748
17750;1;Раскройщик пленки;;40;8142;;classifierOkpdtr_17750
17752;0;Раскройщик стекловолокнистых материалов;;29;8228;;classifierOkpdtr_17752
17753;5;Раскройщик шлифовального полотна;;40;8141;;classifierOkpdtr_17753
17755;4;Раскряжевщик;;39;6141;;classifierOkpdtr_17755
17757;3;Распаковщик сырья;;48;7441;;classifierOkpdtr_17757
17759;2;Распалубщик теплоизоляционных и акустических изделий;;43;7450;;classifierOkpdtr_17759
17762;4;Распарщик целлулоидных пластин;;27;9322;;classifierOkpdtr_17762
17764;3;Распиловщик алмазов;;65;7313;;classifierOkpdtr_17764
17766;2;Распиловщик водорастворимых кристаллов;;20;7242;;classifierOkpdtr_17766
17768;1;Распиловщик войлока;;47;7439;;classifierOkpdtr_17768
17769;6;Распиловщик камня;;42;7334;;classifierOkpdtr_17769
17770;9;Распиловщик камня;;65;7113;;classifierOkpdtr_17770
17772;8;Распиловщик кости и рога;;65;7334;;classifierOkpdtr_17772
17774;7;Распиловщик меха и войлока;;48;7441;;classifierOkpdtr_17774
17776;6;Распиловщик мясопродуктов;;52;7411;;classifierOkpdtr_17776
17777;0;Распиловщик необожженных кругов и брусков;;17;7270;;classifierOkpdtr_17777
17779;6;Распиловщик оптического стекла;;71;7260;;classifierOkpdtr_17779
17781;7;Расправщик;;47;9350;;classifierOkpdtr_17781
17783;6;Расправщик войлочных изделий;;47;7439;;classifierOkpdtr_17783
17785;5;Расправщик основ;;47;7431;;classifierOkpdtr_17785
17787;4;Распределитель работ;;1;8290;;classifierOkpdtr_17787
17789;3;Распределитель силикатной массы;;42;7450;;classifierOkpdtr_17789
17791;0;Распылитель газопоглотителя;;20;8223;;classifierOkpdtr_17791
17792;5;Рассевальщик шлифзерна и шлифпорошков;;17;7260;;classifierOkpdtr_17792
17794;4;Рассевщик;;55;9350;;classifierOkpdtr_17794
