prof_code,prof_name
10914,Аппаратчик расщепления жиров
10916,Аппаратчик рафинации жиров и масел
10918,Аппаратчик рафинирования крахмала
10919,Аппаратчик рафинирования щелочных металлов
10921,Аппаратчик регенерации
10923,Аппаратчик регенерации воскомассы
11178,Бассейнщик
10927,Аппаратчик рекуперации
10931,Аппаратчик сгустителей
10935,Аппаратчик сепарирования
10937,Аппаратчик сепарирования и флотации
10939,Аппаратчик-сернильщик
10941,Аппаратчик сжигания
10943,Аппаратчик сжигания сероводорода
10945,Аппаратчик-сиккативовар
10947,Аппаратчик силиконирования
10949,Аппаратчик синтеза
10953,Аппаратчик скипидарной установки
10955,Аппаратчик смесителей
10957,Аппаратчик смешивания
10959,Аппаратчик смешивания красителей
10961,Аппаратчик созревания оболочки
10963,Аппаратчик солеобогатительной установки
10965,Аппаратчик солеобразования
10967,Аппаратчик составления эмалей
10969,Аппаратчик спекания
10971,Аппаратчик сплавления
10972,Аппаратчик средоварения
10973,Аппаратчик стандартизации
10974,Аппаратчик стандартизации в производстве пластических масс
10976,Аппаратчик стерилизации
10978,Аппаратчик стерилизации консервов
10981,Аппаратчик сублимационной установки
10984,Аппаратчик-сульфировщик
10986,Аппаратчик сульфитации овощей и фруктов
10988,Аппаратчик-сульфитировщик
10990,Аппаратчик сушильной установки
10992,Аппаратчик-сушильщик
10994,Аппаратчик сушки
10996,Аппаратчик сушки и карбонизации лигнина и целлолигнина
10998,Аппаратчик сушки и окисления магнетита
11000,Аппаратчик сушки клея и желатина
11002,Аппаратчик сушки кости-паренки
11004,Аппаратчик сушки спичечных коробок
11007,Аппаратчик талловой установки
11009,Аппаратчик теплоутилизации
11011,Аппаратчик термической активации углей
11168,Бандажировщик
11013,Аппаратчик термической коагуляции белковых веществ
11017,Аппаратчик термической обработки мясопродуктов
11019,Аппаратчик термической обработки субпродуктов
11021,Аппаратчик термовлажностной обработки
11023,Аппаратчик термообработки коксуемой шихты
11025,Аппаратчик термообработки пластмассовых изделий
11027,Аппаратчик термообработки ткани
11029,Аппаратчик терморелаксации пряжи
11030,Аппаратчик термостабилизации
11032,Аппаратчик томатосокового агрегата
11034,Аппаратчик увлажнения
11036,Аппаратчик углеобогащения
11038,Аппаратчик улавливания жиров
11040,Аппаратчик упаривания и сгущения продуктов
11041,Аппаратчик уплотнения технического углерода
11043,Аппаратчик установки для отделения мяса от кости
11045,Аппаратчик установки нейтрального газа
11047,Аппаратчик установки опытного производства
11049,Аппаратчик установки производства отбельной земли
11050,Аппаратчик утилизации конфискатов
11052,Аппаратчик фенилирования
11055,Аппаратчик ферментации затора
11056,Аппаратчик ферментации препаратов биосинтеза
11057,Аппаратчик ферментации эфиромасличного сырья
11059,Аппаратчик фиксации
11061,Аппаратчик фильтрации
11063,Аппаратчик-фирнисовар
11065,Аппаратчик формования синтетического каучука
11067,Аппаратчик формования химического волокна
11068,Аппаратчик формования целлофановой пленки
11070,Аппаратчик форполимеризации
11074,Аппаратчик фотохимического синтеза
11076,Аппаратчик хемосорбции
11078,Аппаратчик химводоочистки
11079,Аппаратчик химводоочистки электростанции
11081,Аппаратчик химической обработки технического сырья
11083,Аппаратчик химической очистки препаратов биосинтеза
11085,Аппаратчик химической чистки
11088,Аппаратчик хлорирования и станнирования
11090,Аппаратчик центрифугирования
11094,Аппаратчик циклизации
11095,Аппаратчик чешуирования
11097,Аппаратчик чистки ковровых изделий
11099,Аппаратчик чистки пухоперовых изделий
11100,Аппаратчик шаровых мельниц
11102,Аппаратчик экстрагирования
11104,Аппаратчик экстрагирования таннидов
11106,Аппаратчик-экстракторщик
11108,Аппаратчик электролиза
11110,Аппаратчик электролитического обезжиривания
11112,Аппаратчик электрохимического производства тантала
11114,Аппаратчик этаноламиновой установки
11116,Аппаратчик этерификации
11117,Аппаратчик этиленгликолевой установки
11119,Аппретурщик
11121,Арматурщик
11122,Арматурщик
11123,Арматурщик железобетонных судов
11125,Арматурщик язычковых инструментов
11127,Армировщик
11129,Армировщик кабельных изделий
11131,Армировщик санитарно-строительных изделий
11132,Армировщик электрокерамических изделий
11134,Ароматизаторщик
11136,Аспираторщик
11138,Асфальтировщик труб
11140,Асфальтобетонщик
11141,Асфальтобетонщик-варильщик
11143,Аэрографист
11144,Аэрографист
11145,Аэрографист щипковых инструментов
11147,Аэрографщик
11149,Аэродромный рабочий
11151,Аэрозольщик
11157,Бакелизаторщик
11159,Бакелитчик (пропитчик)
11161,Балансировщик деталей и узлов
11163,Балансировщик-заливщик абразивных кругов
11165,Балансировщик инструментов из алмазов и сверхтвердых материалов
11166,Балансировщик шин
11180,Батанщик
11182,Бахромщик
11184,Бегунщик
11186,Бегунщик смесительных бегунов
11188,Беконщик
11196,Бетонщик
11200,Битумщик
11202,Бланшировщик
11204,Блокировщик стеклоизделий
11206,Боец скота
