prof_standard_code,prof_standard_sphere,prof_standard_type,prof_standard_name
25.008,Ракетно-космическая промышленность ,"Испытания ракетных двигателей, их узлов и агрегатов ",Специалист по испытаниям ракетных двигателей
24.015,Атомная промышленность,Монтаж оборудования атомных электростанций,Монтажник оборудования атомных электростанций
16.007,Строительство и ЖКХ,Техническое обслуживание и ремонт технологического и вспомогательного оборудования станций водоподготовки,Специалист по эксплуатации станций водоподготовки
06.003,"Связь, информационные и коммуникационные технологии ","Проектирование, сопровождение и развитие архитектуры программного обеспечения ",Архитектор программого обеспечения
06.004,"Связь, информационные и коммуникационные технологии ",Верификация и тестирование программного обеспечения,Специалист по тестированию в области информационных технологий
40.014,Сквозные виды профессиональной деятельности,"Обеспечение механосборочного производства изделиями, полученными преимущественно методами литья, обработки давлением, сварки, порошковой металлургии, аддитивными технологиями",Специалист по обеспечению механосборочного производства заготовками
24.016,Атомная промышленность,Психологическое и психофизиологическое сопровождение деятельности персонала атомной станции ,Специалист лаборатории психофизиологического обеспечения атомной станции
24.017,Атомная промышленность,Обеспечение докового ремонта судов атомного флота,Специалист плавдока (докмейстер всех категорий) в области атомного флота
24.018,Атомная промышленность,Техническая эксплуатация судового оборудования судов с ядерными энергетическими установками (ЯЭУ) и судов атомно-технологического обслуживания (АТО),"Моторист судов с ядерными энергетическими установками, судов атомно-технологического обслуживания (всех категорий)"
16.010,Строительство и ЖКХ,Эксплуатация газового оборудования жилых и общественных зданий,Специалист по эксплуатации газового оборудования жилых и общественных зданий
16.011,Строительство и ЖКХ,Организация технической эксплуатации гражданских зданий,Специалист по эксплуатации гражданских зданий
16.012,Строительство и ЖКХ,"Эксплуатация тепловых пунктов и котлов на газообразном, жидком топливе и электронагреве","Специалист по эксплуатации тепловых пунктов и котлов на газообразном, жидком топливе и электронагреве"
16.013,Строительство и ЖКХ,"Техническое обслуживание и ремонт сооружений, оборудования и автоматики насосных станций водопровода",Специалист по эксплуатации насосных станций водопровода
16.014,Строительство и ЖКХ,Организация и обеспечение обслуживания трубопроводов и оборудования коммунального теплоснабжения,Специалист по организации эксплуатации систем коммунального теплоснабжения
16.015,Строительство и ЖКХ,Техническое обслуживание и ремонт гидротехнических сооружений и оборудования водозабора,Специалист по эксплуатации водозаборных сооружений
16.016,Строительство и ЖКХ,"Организация сбора, очистки сточныход городов и населенных мест и отвода очищенных вод в водные объекты через системы водоотведения, обработка осадка сточных вод",Специалист по эксплуатации очистных сооружений водоотведения
25.009,Ракетно-космическая промышленность ,Создание инфраструктуры и использование результатов космической деятельности,Специалист по использованию результатов космической деятельности
