prof_standard_code,prof_standard_sphere,prof_standard_type,prof_standard_name
14.004,"Лесное хозяйство, охота",Выработка круглых лесоматериалов,Оператор раскряжевочной установки
14.005,"Лесное хозяйство, охота",Выполнение лесозаготовительных работ с применением лесных тракторов,Тракторист (машинист) лесного трактора со сменным рабочим оборудованием
14.006,"Лесное хозяйство, охота","Выполнение работ по погрузке, разгрузке, штабелевке древесного сырья и лесоматериалов с применением лесопогрузчиков",Машинист лесопогрузчика (лесопогрузочной машины)
40.132,Сквозные виды профессиональной деятельности,Техническое обслуживание и ремонт оборудования для обеззараживания (обезвреживания) медицинских и биологических отходов,Работник по ремонту оборудования для обеззараживания (обезвреживания) медицинских и биологических отходов
16.069,Строительство и ЖКХ,Логистическая деятельность в сфере обращения с отходами потребления,Работник по логистике в сфере обращения с отходами потребления
16.070,Строительство и ЖКХ,Размещение и обезвреживание твердых коммунальных отходов на полигонах,Работник по эксплуатации полигона твердых коммунальных отходов
26.007,"Химическое, химико-технологическое производство",Обеспечение экологически и санитарно-эпидемиологически безопасного обращения с отходами производства и потребления,Оператор оборудования для утилизации и обезвреживания медицинских и биологических отходов
40.133,Сквозные виды профессиональной деятельности,Контроль качества в производстве светопрозрачных конструкций ,Контролер качества в производстве светопрозрачных конструкций
26.008,"Химическое, химико-технологическое производство",Защита окружающей среды и ликвидация последствий вредного на нее воздействия с использованием биотехнологических методов,Специалист в области экологических биотехнологий
26.009,"Химическое, химико-технологическое производство",Производство моющих и чистящих средств,Специалист по производству моющих и чистящих средств
26.010,"Химическое, химико-технологическое производство",Производство энергоносителей биотехнологическим методом из возобновляемого сырья,Специалист в области биоэнергетических технологий
40.134,Сквозные виды профессиональной деятельности,Технологическое обеспечение производственных процессов в сфере обращения с отходами ,Инженер-технолог по обращению с медицинскими и биологическими отходами
28.004,Производство машин и оборудования,Проектно-конструкторские работы по изготовлению изделий (комплексов оборудования) для обезвреживания отходов,Инженер-проектировщик установок для утилизации и обезвреживания медицинских и биологических отходов
40.135,Сквозные виды профессиональной деятельности,Оператор электроэрозионных проволочно-вырезных станков,Оператор электроэрозионных проволочно-вырезных станков
20.018,Электроэнергетика,Мониторинг и диагностика оборудования и систем гидроэлектростанций/ гидроаккумулирующих электростанций (ГЭС/ГАЭС),Работник по мониторингу и диагностике оборудования и систем гидроэлектростанций/гидроаккумулирующих электростанций 
30.021,Судостроение,Разметочные работы в судостроении и судоремонте,Разметчик судовой
29.004,"Производство электрооборудования, электронного и оптического оборудования","Разработка оптотехники, оптических и оптико-электронных приборов и сопровождение их производства ","Специалист в области проектирования и сопровождения производства оптотехники, оптических и оптико-электронных приборов и комплексов"
33.018,"Сервис, оказание услуг населению (торговля, техническое обслуживание, ремонт, предоставление персональных услуг, услуги гостеприимства, общественное питание и пр.)",Ремонт и сервисное обслуживание часов ,Работник по ремонту и сервисному обслуживанию часов
30.022,Судостроение,"Парусные работы при постройке и ремонте судов, плавучих сооружений",Парусник
20.019,Электроэнергетика,Мониторинг и диагностика сооружений гидроэлектростанций/ гидроаккумулирующих электростанций (ГЭС/ГАЭС),Работник по мониторингу и диагностике сооружений гидроэлектростанций/ гидроаккумулирующих электростанций
30.023,Судостроение,Обработка судовых деталей и изделий ручным и механизированным инструментом ,Рубщик судовой
20.020,Электроэнергетика,Ремонт гидротурбинного и гидромеханического оборудования гидроэлектростанций/ гидроаккумулирующих электростанций (ГЭС/ ГАЭС),Работник по ремонту гидротурбинного и гидромеханического оборудования гидроэлектростанций/ гидроаккумулирующих электростанций
16.071,Строительство и ЖКХ,Механическая очистка сточных вод в системах коммунального водоотведения,"Оператор на решетках, песколовках и жироловках"
16.072,Строительство и ЖКХ,Очистка сточных вод в системах водоотведения,Оператор на отстойниках и аэротенках систем водоотведения
16.073,Строительство и ЖКХ,Озонирование вод в системах водоснабжения и водоотведения,Оператор озонаторной установки
16.074,Строительство и ЖКХ,Очистка и обеззараживание сточных вод,Оператор по доочистке и обеззараживанию очищенных стоков
20.021,Электроэнергетика,Ремонт гидротехнических сооружений (ГТС)  гидроэлектростанций/ гидроаккумулирующих электростанций (ГЭС/ГАЭС),Работник по ремонту гидротехнических сооружений гидроэлектростанций/ гидроаккумулирующих электростанций
16.075,Строительство и ЖКХ,Очистка сточных вод в системах водоотведения,Оператор по обработке сырого и илового оскадка
26.012,"Химическое, химико-технологическое производство",Разработка технологии нанесения и контроля наноструктурированных PVD-покрытий на металлы,Технолог по наноструктурированным PVD-покрытиям
16.076,Строительство и ЖКХ,Деятельность по предварительной подготовке сортировке ,Работник по сортировке твердых коммунальных отходов
16.077,Строительство и ЖКХ,Выполнение работ по санитарному содержанию и уборке общего имущества собственников помещений многоквартирного дома,"Работник по комплексной уборке территории, относящейся к общему имуществу в многоквартирном доме"
16.078,Строительство и ЖКХ,Эксплуатация газового оборудования жилых и общественных зданий, Рабочий по эксплуатации газового оборудования жилых и общественных зданий
16.079,Строительство и ЖКХ,Очистка поверхностей нагрева тепловых установок и конструкций,Огнеупорщик
16.080,Строительство и ЖКХ,Ремонт и техническое обслуживание котлоагрегатов и теплообменников,Котлочист (в системах коммунального теплоснабжения)
20.022,Электроэнергетика,Оперативное управление тепловыми сетями,Работник по оперативному управлению тепловыми сетями
20.023,Электроэнергетика,Расчет режимов тепловых сетей,Работник по расчету режимов тепловых сетей
16.081,Строительство и ЖКХ,Производство изоляционных работ,Работник по гидро- и теплоизоляции сетей водо- и теплоснабжения
16.082,Строительство и ЖКХ,Техническое обслуживание и ремонт трансформаторов,Работник по ремонту трансформаторов в инженерной инфраструктуре электроснабжения населения
16.083,Строительство и ЖКХ,Деятельность по обеспечению учета и регулирования потребления энергетических ресурсов и воды в жилищно-коммунальном хозяйстве,Работник по техническому обслуживанию (эксплуатации) систем учета и регулирования потребления электрической и тепловой энергии и воды в жилищно-коммунальном хозяйстве
16.084,Строительство и ЖКХ,"Монтаж, ремонт и техническое обслуживание насосов и компрессоров",Работник по техническому обслуживанию насосных или компрессорных установок инженерной инфраструктуры жилищно-коммунального хозяйства (в системах водо- и теплоснабжения)
16.085,Строительство и ЖКХ,Деятельность по обеспечению работоспособности тепловых сетей,Работник по техническому обслуживанию и эксплуатации оборудования водоподготовки в системах теплоснабжения
20.024,Электроэнергетика,"Ремонт оборудования, трубопроводов и арматуры тепловых сетей","Работник по ремонту оборудования, трубопроводов и арматуры тепловых сетей"
16.086,Строительство и ЖКХ,"Проведение работ по техническому обслуживанию и ремонту инженерных систем отопления, водоснабжения и водоотведения гражданских зданий",Слесарь домовых санитарно-технических систем и оборудования
20.025,Электроэнергетика,"Эксплуатация оборудования, трубопроводов и арматуры тепловых сетей","Работник по эксплуатации оборудования, трубопроводов и арматуры тепловых сетей"
26.013,"Химическое, химико-технологическое производство",Контроль качества продукции биотехнологического производства,Специалист по контролю качества продукции биотехнологического производства
16.087,Строительство и ЖКХ,Обеспечение работоспособности котельных,Слесарь по ремонту оборудования котельных
16.088,Строительство и ЖКХ,Монтаж технологических трубопроводов,Монтажник технологических трубопроводов
16.089,Строительство и ЖКХ,Монтаж санитарно-технических систем и оборудования объектов капитального строительства непроизводственного и производственного назначения,Монтажник санитарно-технических систем и оборудования
16.090,Строительство и ЖКХ,Производство электромонтажных работ,Электромонтажник домовых электрических систем и оборудования
20.026,Электроэнергетика,Ремонт электротехнического оборудования (ЭТО) гидроэлектростанций/ гидроаккумулирующих электростанций (ГЭС/ГАЭС),Работник по ремонту электротехнического оборудования гидроэлектростанций/ гидроаккумулирующих электростанций
16.091,Строительство и ЖКХ,Монтаж технологического оборудования и связанных с ним конструкций,Монтажник технологического оборудования и связанных с ним конструкций 
16.092,Строительство и ЖКХ,"Монтаж приборов и аппаратуры автоматического контроля, регулирования, управления","Монтажник приборов и аппаратуры автоматического контроля, регулирования, управления
"
26.014,"Химическое, химико-технологическое производство","Разработка, сопровождение технологических процессов производства и техническое обслуживание биотехнических систем","Специалист по проектированию, сопровождению производства и эксплуатации биотехнических систем"
19.032,"Добыча, переработка, транспортировка нефти и газа",Товарно-транспортные операции на трубопроводном транспорте нефти и нефтепродуктов ,Специалист по товарно-транспортным операциям на трубопроводном транспорте нефти и нефтепродуктов
02.004,Здравоохранение,Слухоречевая реабилитация граждан путем слухопротезирования,Специалист в области слухопротезирования (сурдоакустик)
32.008,Авиастроение,Управление системами менеджмента качества в авиастроении,Специалист по управлению системой менеджмента качества в авиастроении
30.024,Судостроение,Проведение исследований по разработке новых технологий в области судостроения и судоремонта,Инженер-исследователь в области судостроения и судоремонта
28.005,Производство машин и оборудования,Производство часов бытового и специального назначения,Работник часового производства
20.027,Электроэнергетика,Диагностика оборудования электрических сетей методами химического анализа,Работник по диагностике оборудования электрических сетей методами химического анализа
20.028,Электроэнергетика,Техническое обслуживание и ремонт оборудования связи электрических сетей,Работник по обслуживанию и ремонту оборудования связи электрических сетей
20.029,Электроэнергетика,Метрологическое обеспечение деятельности по передаче и распределению электроэнергии,Работник по метрологическому обеспечению деятельности по передаче и распределению электроэнергии
20.030,Электроэнергетика,Техническое обслуживание и ремонт кабельных линий электропередачи,Работник по техническому обслуживанию и ремонту кабельных линий электропередачи
10.002,"Архитектура, проектирование, геодезия, топография и дизайн","Организация и выполнение инженерно-геодезических изысканий, управление инженерно-геодезическими изысканиями в градостроительной деятельности",Специалист в области инженерно-геодезических изысканий для градостроительной деятельности
10.003,"Архитектура, проектирование, геодезия, топография и дизайн",Проектирование уникальных зданий и сооружений промышленного и гражданского назначения,Специалист по проектированию уникальных зданий и сооружений
10.004,"Архитектура, проектирование, геодезия, топография и дизайн",Экспертиза проектной документации и результатов инженерных изысканий объектов капитального строительства,Специалист в области экспертизы проектной документации и результатов инженерных изысканий
02.005,Здравоохранение,Стоматологическая практика,Врач-стоматолог
02.006,Здравоохранение,Организация и ведение фармацевтической деятельности в сфере обращения лекарственных средств,Провизор
02.007,Здравоохранение,Изготовление медицинской оптики,Специалист по изготовлению медицинской оптики
19.033,"Добыча, переработка, транспортировка нефти и газа","Эксплуатация технологических установок редуцирования, учета и распределения газа","Работник по эксплуатации технологических установок редуцирования, учета и распределения газа"
13.021,Сельское хозяйство,Производство винограда и винодельческой продукции,Работник в области виноградарства и виноделия
19.034,"Добыча, переработка, транспортировка нефти и газа",Организация аварийно-восстановительных и ремонтных работ на объектах газовой отрасли,Специалист по аварийно-восстановительным и ремонтным работам в газовой отрасли
10.005,"Архитектура, проектирование, геодезия, топография и дизайн","Комплексное благоустройство территорий и объектов городских, сельских поселений и межселенных территорий",Специалист по благоустройству и озеленению территорий и объектов
40.136,Сквозные виды профессиональной деятельности,Создание интегрированных технологических процессов и производств в области материаловедения и технологии материалов и управление ими ,"Специалист в области разработки, сопровождения и интеграции технологических процессов и производств в области материаловедения и технологии материалов"
19.035,"Добыча, переработка, транспортировка нефти и газа",Осуществление аварийно-восстановительных и ремонтных работ на объектах газовой отрасли,Работник по аварийно-восстановительным и ремонтным работам в газовой отрасли
19.036,"Добыча, переработка, транспортировка нефти и газа","Эксплуатация оборудования по добыче нефти, газа и газового конденсата","Работник по эксплуатации оборудования по добыче нефти, газа и газового конденсата
"
25.046,Ракетно-космическая промышленность ,"Изготовление изделий, специзделий и их составных частей в ракетно-космической промышленности","Изготовитель изделий, специзделий из полимерных композиционных материалов методом выкладки и намотки в ракетно-космической промышленности"
17.035,Транспорт,Финансово-экономическое обеспечение деятельности структурного подразделения организации железнодорожного транспорта,Инженер-экономист железнодорожного транспорта
17.036,Транспорт,"Доставка, прием и обработка поездной информации и перевозочных документов железнодорожного транспорта, управление процессом обработки поездной информации и перевозочных документов железнодорожного транспорта",Работник по обработке поездной информации и перевозочных документов железнодорожного транспорта
05.010,Физическая культура и спорт,Подготовка и проведение работы в сфере антидопинга,Специалист по антидопинговому  обеспечению
20.031,Электроэнергетика,Техническое обслуживание и ремонт воздушных линий электропередачинапряжением 35 кВ и выше,Работник по техническому обслуживанию и ремонту воздушных линий электропередачи напряжением 35 кВ и выше
19.037,"Добыча, переработка, транспортировка нефти и газа",Защита от коррозии внутренних поверхностей оборудования,Специалист по защите от коррозии внутренних поверхностей оборудования нефтегазового комплекса
20.032,Электроэнергетика,Обслуживание оборудования подстанций электрических сетей,Работник по обслуживанию оборудования подстанций электрических сетей
40.137,Сквозные виды профессиональной деятельности,Дизайн транспортных средств,Дизайнер транспортных средств
20.033,Электроэнергетика,Управление качеством производственных активов гидроэнергетических объектов (гидроэлектростанций/ гидроаккумулирующих электростанций (ГЭС/ГАЭС)) ,Работник по управлению качеством производственных активов гидроэнергетических объектов (гидроэлектростанция/ гидроаккумулирующая электростанция)
02.008,Здравоохранение,Врачебная практика в области педиатрии,Врач-педиатр участковый 
40.138,Сквозные виды профессиональной деятельности,"Управление, техническое обслуживание и текущий ремонт мобильных робототехнических средств (РТС)",Оператор мобильной робототехники
40.139,Сквозные виды профессиональной деятельности,Технологическая подготовка производства изделий машиностроения с использованием электрохимических и электрофизических методов обработки,Специалист по электрохимическим и электрофизическим методам обработки заготовок
10.006,"Архитектура, проектирование, геодезия, топография и дизайн","Деятельность по развитию территорий, в том числе городов и иных поселений, осуществляемая в виде территориального планирования, градостроительного зонирования, планировки территории",Градостроитель
16.093,Строительство и ЖКХ,Строительный контроль в области защиты от коррозии,Специалист по строительному контролю систем защиты от коррозии
20.034,Электроэнергетика,Обслуживание и ремонт оборудования релейной защиты и автоматики электрических сетей,Работник по обслуживанию и ремонту оборудования релейной защиты и автоматики электрических сетей
06.030,"Связь, информационные и коммуникационные технологии ","Разработка, обеспечение функционирования и менеджмент средств и систем обеспечения защиты средств связи сетей электросвязи от несанкционированного доступа к ним",Специалист по защите информации в телекоммуникационных системах и сетях
06.031,"Связь, информационные и коммуникационные технологии ",Автоматизация информационно-аналитической деятельности ,Специалист по автоматизации информационно-аналитической деятельности
06.032,"Связь, информационные и коммуникационные технологии ",Защита информации в компьютерных системах и сетях,Специалист по безопасности компьютерных систем и сетей
06.033,"Связь, информационные и коммуникационные технологии ","Обеспечение безопасности информации в автоматизированных системах, используемых в том числе на объектах критической информационной инфраструктуры, в отношении которых отсутствует необходимость присвоения им категорий значимости ",Специалист по защите информации в автоматизированных системах
06.034,"Связь, информационные и коммуникационные технологии ",Техническая защита информации,Специалист по технической защите информации
20.035,Электроэнергетика,Оперативно-диспетчерское управление в электроэнергетике,Работник по осуществлению функций диспетчера в сфере оперативно-диспетчерского управления в электроэнергетике
03.010,Социальное обслуживание,Деятельность по сопровождению и двустороннему переводу на жестовый или тактильный жестовый язык для граждан с одновременным нарушением зрения и слуха,Тифлосурдопереводчик
33.019,"Сервис, оказание услуг населению (торговля, техническое обслуживание, ремонт, предоставление персональных услуг, услуги гостеприимства, общественное питание и пр.)",Деятельность по организации торгово-промышленных выставок,Специалист по выставочной деятельности в сфере торгово-промышленных выставок
29.005,"Производство электрооборудования, электронного и оптического оборудования",Технология производства изделий микро- и наноэлектроники по принципу «система в корпусе»,Специалист по технологии производства систем в корпусе
16.094,Строительство и ЖКХ,Производство изделий из наноструктурированных изоляционных материалов,Специалист по производству изделий из наноструктурированных изоляционных материалов
29.006,"Производство электрооборудования, электронного и оптического оборудования",Проектирование изделий микро- и наноэлектроники типа «система в корпусе»,Специалист по проектированию систем в корпусе
29.007,"Производство электрооборудования, электронного и оптического оборудования","Проектирование и разработка устройств, приборов на основе микро- и наноразмерных электромеханических систем",Специалист по проектированию микро- и наноразмерных электромеханических систем
29.008,"Производство электрооборудования, электронного и оптического оборудования",Технология производства микро- и наноразмерных электромеханических систем,Специалист по технологии производства микро- и наноразмерных электромеханических систем
16.095,Строительство и ЖКХ,Производство бетонов с наноструктурирующими компонентами,Специалист в области производства бетонов с наноструктурирующими компонентами
16.096,Строительство и ЖКХ,Проектирование состава бетонов с наноструктурирующими компонентами,"Инженер-технолог в области анализа, разработки и испытаний бетонов с наноструктурирующими компонентами"
16.097,Строительство и ЖКХ,Производство водно-дисперсионных наноструктурированных лаков и красок,Специалист в области производства наноструктурированных лаков и красок
16.098,Строительство и ЖКХ,Разработка и испытания наноструктурированных лаков и красок с заданными свойствами,"Инженер-технолог в области анализа, разработки и испытаний наноструктурированных лаков и красок"
33.020,"Сервис, оказание услуг населению (торговля, техническое обслуживание, ремонт, предоставление персональных услуг, услуги гостеприимства, общественное питание и пр.)","Формирование эффективной системы оказания услуг профессиональной уборки городских территорий и территорий объектов недвижимости, включающих в себя территории улиц, подъездов к объектам, проездов, переходов, стоянок, территорий при объектах недвижимости в различных вариантах, и поверхностей различного назначения",Специалист логистического планирования и контроля механизированной уборки городских территорий и территорий объектов недвижимости
08.027,Финансы и экономика,Предоставление платежных услуг клиентам ,Специалист по платежным услугам
08.028,Финансы и экономика,Актуарная деятельность,Актуарий
03.011,Социальное обслуживание,Предоставление государственных услуг в области занятости населения,Специалист по оказанию государственных услуг в области занятости населения
20.036,Электроэнергетика,"Обслуживание и ремонт оборудования автоматизированных систем управления технологическими процессами электрических подстанций, автоматизированных систем технологического управления, интеллектуальных систем управления электрическими сетями",Работник по обслуживанию и ремонту оборудования автоматизированных систем управления технологическими процессами в электрических сетях
16.099,Строительство и ЖКХ,Выполнение механизированных работ с применением самоходных и полуприцепных катков,Машинист катка
16.100,Строительство и ЖКХ,Выполнение механизированных работ с применением автогудронатора,Машинист автогудронатора
16.101,Строительство и ЖКХ,Выполнение механизированных работ с применением битумоплавильной передвижной установки,Машинист битумоплавильной передвижной установки
16.102,Строительство и ЖКХ,Выполнение механизированных работ с применением бетоносмесителя передвижного с различным объемом замеса и автобетоновоза,Машинист машин для транспортировки бетонных смесей
16.103,Строительство и ЖКХ,Выполнение механизированных работ с применением щебнераспределителя,Машинист щебнераспределителя
08.029,Финансы и экономика,Организация индивидуального (персонифицированного) учета пенсионных прав застрахованных лиц,Специалист по организации персонифицированного учета пенсионных прав застрахованных лиц
08.030,Финансы и экономика,Организация администрирования страховых взносов,Специалист по организации администрирования страховых взносов
08.031,Финансы и экономика,Установление и выплата пенсий и иных выплат,Специалист по организации назначения и выплаты пенсии
08.032,Финансы и экономика,Организация и установление выплат социального характера,Специалист по организации и установлению выплат социального характера
17.037,Транспорт,Контроль безопасности движения и эксплуатации железнодорожного транспорта,Специалист по безопасности движения и эксплуатации железнодорожного транспорта
17.038,Транспорт,"Оперативное руководство локомотивными бригадами тягового подвижного состава, бригадами специального железнодорожного подвижного состава, машинистами кранов на железнодорожном ходу","Специалист по оперативному руководству колонной локомотивных бригад тягового подвижного состава, бригад специального железнодорожного подвижного состава, машинистами кранов на железнодорожном ходу"
25.047,Ракетно-космическая промышленность ,Разработка датчикопреобразующей аппаратуры (далее – ДПА) для изделий ракетно-космической промышленности (далее – РКП),Инженер-конструктор датчиковой аппаратуры в ракетно-космической промышленности
25.048,Ракетно-космическая промышленность ,Проведение расчетно-экспериментальных исследований по прочности летательных аппаратов в ракетно-космической технике ,Инженер-исследователь по прочности летательных аппаратов в ракетно-космической технике при силовом и температурном воздействиях
