okved_group,year,worker_num
Государственное управление и обеспечение военной безопасности; социальное обеспечение,2019,67.7
Образование,2019,85.0
Деятельность в области здравоохранения и социальных услуг,2019,69.5
"Деятельность в области культуры, спорта, организации досуга и развлечений",2019,15.2
Предоставление прочих видов услуг,2019,20.6
"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",2020,47.4
Добыча полезных ископаемых,2020,17.2
Обрабатывающие производства,2020,220.9
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",2020,25.9
"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",2020,9.6
Строительство,2020,103.5
Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,2020,179.9
Транспортировка и хранение,2020,87.6
Деятельность гостиниц и предприятий общественного питания,2020,28.4
Деятельность в области информации и связи,2020,21.5
Деятельность финансовая и страховая,2020,14.8
Деятельность по операциям с недвижимым имуществом,2020,27.8
"Деятельность профессиональная, научная и техническая",2020,38.8
Деятельность административная и сопутствующие дополнительные услуги,2020,29.9
Государственное управление и обеспечение военной безопасности; социальное обеспечение,2020,66.9
Образование,2020,81.4
Деятельность в области здравоохранения и социальных услуг,2020,68.8
"Деятельность в области культуры, спорта, организации досуга и развлечений",2020,15.6
Предоставление прочих видов услуг,2020,22.4
"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",2021,47.0
Добыча полезных ископаемых,2021,17.2
Обрабатывающие производства,2021,229.4
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",2021,26.5
"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",2021,10.4
Строительство,2021,112.0
Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,2021,188.4
Транспортировка и хранение,2021,91.5
Деятельность гостиниц и предприятий общественного питания,2021,31.2
Деятельность в области информации и связи,2021,23.5
Деятельность финансовая и страховая,2021,15.2
Деятельность по операциям с недвижимым имуществом,2021,28.9
"Деятельность профессиональная, научная и техническая",2021,39.7
Деятельность административная и сопутствующие дополнительные услуги,2021,32.8
Государственное управление и обеспечение военной безопасности; социальное обеспечение,2021,67.1
Образование,2021,82.1
Деятельность в области здравоохранения и социальных услуг,2021,69.2
"Деятельность в области культуры, спорта, организации досуга и развлечений",2021,17.1
Предоставление прочих видов услуг,2021,24.1
"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",2022,45.5
Добыча полезных ископаемых,2022,16.6
Обрабатывающие производства,2022,225.6
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",2022,25.3
"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",2022,10.6
Строительство,2022,112.3
Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,2022,183.4
Транспортировка и хранение,2022,88.8
Деятельность гостиниц и предприятий общественного питания,2022,32.5
Деятельность в области информации и связи,2022,23.5
Деятельность финансовая и страховая,2022,15.0
Деятельность по операциям с недвижимым имуществом,2022,28.4
"Деятельность профессиональная, научная и техническая",2022,40.9
Деятельность административная и сопутствующие дополнительные услуги,2022,33.9
Государственное управление и обеспечение военной безопасности; социальное обеспечение,2022,67.7
Образование,2022,82.4
Деятельность в области здравоохранения и социальных услуг,2022,69.7
"Деятельность в области культуры, спорта, организации досуга и развлечений",2022,16.8
Предоставление прочих видов услуг,2022,23.5
"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",2023,44.9
Добыча полезных ископаемых,2023,15.1
Обрабатывающие производства,2023,234.8
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",2023,23.3
"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",2023,10.4
Строительство,2023,120.6
Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,2023,179.5
Транспортировка и хранение,2023,85.8
Деятельность гостиниц и предприятий общественного питания,2023,35.3
Деятельность в области информации и связи,2023,24.6
Деятельность финансовая и страховая,2023,13.9
Деятельность по операциям с недвижимым имуществом,2023,27.6
"Деятельность профессиональная, научная и техническая",2023,41.8
Деятельность административная и сопутствующие дополнительные услуги,2023,33.2
Государственное управление и обеспечение военной безопасности; социальное обеспечение,2023,64.2
Образование,2023,82.0
Деятельность в области здравоохранения и социальных услуг,2023,69.3
"Деятельность в области культуры, спорта, организации досуга и развлечений",2023,16.6
Предоставление прочих видов услуг,2023,22.5
